caseType,season,pitcher,team,role,full_bbe,full_lbi_events,full_hr,current_getting_cooked_plus,lbi_event_rate_plus,lbi_severity_per_event_plus,lbi_per_bbe_plus,lbi_blend_plus,actual_hr_per_bbe_plus,barrel_rate_plus,adjusted_xhr_per_bbe_allowed,rate_rank,severity_rank,blend_rank
Top inverted-LBI per BBE,2025,Nestor Cortes,SD,SP,106,14.0,13,171.8,237.46089072315678,102.57447492416422,243.59357806380504,243.57426180952143,270.18500259037046,174.91262245163466,0.1034,2.0,96.0,2.0
Top inverted-LBI per BBE,2025,Carson Palmquist,COL,SP,120,13.0,10,140.9,194.77446870030363,108.75120619496704,211.83638207346448,211.81958407141872,183.5872453498671,164.1627841967946,0.0742,5.0,14.0,3.0
Top inverted-LBI per BBE,2025,Kevin Kelly,TB,RP,126,14.0,11,158.4,199.76868584646522,103.53876228107039,206.85442769830667,206.83802475058994,192.3294951284322,183.93589265747295,0.0833,4.0,80.0,4.0
Top inverted-LBI per BBE,2025,Gunnar Hoglund,ATH,SP,105,11.0,10,172.0,188.35333236952437,106.78638117386927,201.1516581926731,201.1357074578052,209.81399468556242,187.6146105106224,0.0895,6.0,32.0,5.0
Top inverted-LBI per BBE,2025,Bradley Blalock,COL,SP,221,23.0,17,137.7,187.1136559738385,106.02481624186558,198.40264265572,198.38690990969877,169.4651495537235,141.57237710876086,0.0634,7.0,38.0,6.0
Top inverted-LBI per BBE,2025,Chad Green,TOR,RP,139,16.0,14,165.1,206.95460979777695,95.12447065219465,196.8800890724505,196.8644770604503,221.88962027897608,191.7432434968909,0.0938,3.0,255.0,7.0
Top inverted-LBI per BBE,2025,Jeff Hoffman,TOR,RP,172,17.0,15,154.1,177.7012147355185,106.05018527665725,188.46741237736953,188.4524674658879,192.12618699404698,148.21810885073114,0.076,10.0,37.0,8.0
Top inverted-LBI per BBE,2025,Connor Brogdon,LAA,RP,132,13.0,11,117.8,177.0676988184578,103.87061241660102,183.93588872969923,183.92130315471476,183.5872453498671,149.23889472435874,0.0606,11.0,71.0,9.0
Top inverted-LBI per BBE,2025,Anthony DeSclafani,AZ,RP,116,12.0,11,159.4,185.99153509843316,97.13373713482078,180.6748557801929,180.66052879552998,208.9096240188143,99.8962175639724,0.0905,8.0,216.0,10.0
Top inverted-LBI per BBE,2025,Osvaldo Bido,ATH,RP,253,23.0,19,147.3,163.4471066016534,108.49193629241464,177.34099338524135,177.32693076606083,165.44621320067074,137.4066549891794,0.0684,16.0,17.0,11.0
