target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
era,season_to_next,reliever,False,xWHIP_lgBABIP,xwhip_lgbabip,1520,9,1.3061752047625086,1.4887557676201975,0.997327863072329,1.1271889372353394,0.16216095425619262,0.17078923103005597,0.028312209666403687
era,season_to_next,reliever,False,pWHIP,pWHIP,1520,9,1.3065841518199468,1.4886272896863904,0.9978792729536585,1.1274509785597107,0.1625880470141759,0.1703979153834873,0.027703667922911124
era,season_to_next,reliever,False,KBB,kbb,1520,9,1.2928453272610247,1.4774748236725719,0.9881806040646657,1.1186278434363195,0.21178445407349053,0.20270835720826466,0.04804369340611925
era,season_to_next,reliever,False,KBB_reg_best,KBB_reg_direct,1520,9,1.2927402976092806,1.4776850077279446,0.9878354325309641,1.1183975012565281,0.21202040098896677,0.20324700241904167,0.04819835936028438
era,season_to_next,reliever,False,CCR,CCR,1520,9,1.3230423506468274,1.5032779255127202,1.0152132491867754,1.1417060500922602,0.08615633618020445,0.0830200088331687,0.0030546143986213137
era,season_to_next,reliever,False,WAI,WAI,1520,9,1.3043247141569758,1.4869505504037175,0.9953795574496589,1.1254434901545898,0.1704076975762514,0.17517872109962368,0.03106348746634391
era,season_to_next,reliever,False,HR9,hr9,1520,9,1.326729692539215,1.5079364259016503,1.019475764383593,1.1459785232208228,0.026341456841790168,0.024280698114846195,-0.0025101373722935527
era,season_to_next,reliever,False,HR9_reg,HR9_reg,1520,9,1.2952215010739583,1.4801018632841854,0.990832855811934,1.1213057690382948,0.2044878276163548,0.19933101010984258,0.04454119806009704
era,season_to_next,reliever,False,EDF,EDF,1520,9,1.2924415633281352,1.475831194622885,0.9894563931254934,1.1190363811012471,0.21437840893964086,0.20355079947928306,0.04863820474363911
era,season_to_next,reliever,False,EDF_z,EDF_z,1520,9,1.2943211504518397,1.4767596845201012,0.988634449067333,1.1187813373732718,0.207797537829713,0.2037980966436333,0.04586907739634283
era,season_to_next,reliever,False,KBB_best_plus_pWHIP_plus_HR9_reg,KBB_reg_component+pWHIP+HR9_reg,1520,9,1.2906579323941483,1.474826958302334,0.9877240709532613,1.1181355150271115,0.2178578757494073,0.20981279976478243,0.05126224205267971
era,season_to_next,reliever,False,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,KBB_reg_component+pWHIP+HR9_reg+ERA_reg,1520,9,1.292441563328135,1.4758311946228857,0.9894563931254926,1.1190363811012474,0.21437840893964047,0.20355079947928306,0.048638204743639446
era,season_to_next,all,True,ERA,era,2032,7,1.1037073976992777,1.2433095881230651,0.8567006434506109,0.96537512388081,0.19785193278200902,0.21514618404430483,0.04129309411804816
era,season_to_next,all,True,ERA_reg,ERA_reg,2032,7,1.0986073316053304,1.2383038288581705,0.8513617042087419,0.9606797392891133,0.21265135335015095,0.2220599464431349,0.050132704770211034
era,season_to_next,all,True,WHIP,whip,2032,7,1.104600067150557,1.2463452505592039,0.8507118246454735,0.9620868826679694,0.19666058845601592,0.20095436412007645,0.039741678489640275
era,season_to_next,all,True,WHIP_reg,WHIP_reg,2032,7,1.0989603725819692,1.2400373173753252,0.8441334171702068,0.9569528685958343,0.21056993273232052,0.210070567821689,0.0495221208981389
