kind,target,scenario,split,exclude_2020,model,bucket,n,avg_score,future_value
decile,era,season_to_next,starter,True,CCR,10,78,2.108568932305016,4.413328315829086
decile,era,season_to_next,starter,True,EDF,1,78,3.196822685186324,3.2879117994487466
decile,era,season_to_next,starter,True,EDF,2,77,3.629140880065816,3.590379643884161
decile,era,season_to_next,starter,True,EDF,3,78,3.806822318869995,3.874102521289031
decile,era,season_to_next,starter,True,EDF,4,77,3.956468076280743,3.8098826507133
decile,era,season_to_next,starter,True,EDF,5,78,4.080533094606996,4.077625975869411
decile,era,season_to_next,starter,True,EDF,6,77,4.201661285072224,4.244637753980468
decile,era,season_to_next,starter,True,EDF,7,77,4.3216792600356335,4.285363141569615
decile,era,season_to_next,starter,True,EDF,8,78,4.43169319981515,4.4228351380706314
decile,era,season_to_next,starter,True,EDF,9,77,4.577578499790742,4.53920561831252
decile,era,season_to_next,starter,True,EDF,10,78,4.861020245530778,4.687092350403051
decile,era,season_to_next,starter,True,EDF_z,1,78,-6.160110483450577,3.2700587084148722
decile,era,season_to_next,starter,True,EDF_z,2,77,-3.5581505510141125,3.56038374717833
decile,era,season_to_next,starter,True,EDF_z,3,78,-2.2783862822023537,3.7617629378654565
decile,era,season_to_next,starter,True,EDF_z,4,77,-1.300916489850923,4.009122208162905
decile,era,season_to_next,starter,True,EDF_z,5,78,-0.44699547917516896,4.107425497712379
decile,era,season_to_next,starter,True,EDF_z,6,77,0.33742137101664216,4.382277372262774
decile,era,season_to_next,starter,True,EDF_z,7,77,1.1107143252683676,4.273125060326245
decile,era,season_to_next,starter,True,EDF_z,8,78,1.867697589143014,4.367036141551796
decile,era,season_to_next,starter,True,EDF_z,9,77,3.174716001265288,4.473315204927432
decile,era,season_to_next,starter,True,EDF_z,10,78,5.469925675098384,4.6196261682243005
decile,era,season_to_next,starter,True,ERA,1,78,2.506344441000536,3.515629021648984
decile,era,season_to_next,starter,True,ERA,2,77,3.0698663756360687,3.5487565445026177
decile,era,season_to_next,starter,True,ERA,3,78,3.3653623670225263,3.927775930851064
decile,era,season_to_next,starter,True,ERA,4,77,3.606499407823943,4.016225596529283
decile,era,season_to_next,starter,True,ERA,5,78,3.8480003404138667,4.296663284187907
decile,era,season_to_next,starter,True,ERA,6,77,4.111774864207303,4.061803604684195
decile,era,season_to_next,starter,True,ERA,7,77,4.351093987263579,4.348864711447493
decile,era,season_to_next,starter,True,ERA,8,78,4.622067938217818,4.127019203834543
decile,era,season_to_next,starter,True,ERA,9,77,5.011302030282779,4.343576679994841
decile,era,season_to_next,starter,True,ERA,10,78,5.84573016024771,4.501238730988921
decile,era,season_to_next,starter,True,ERA_reg,1,78,3.0963345050254096,3.4778093844071916
decile,era,season_to_next,starter,True,ERA_reg,2,77,3.4482654097567735,3.7105815809369136
decile,era,season_to_next,starter,True,ERA_reg,3,78,3.615917008408647,3.7245960797178714
decile,era,season_to_next,starter,True,ERA_reg,4,77,3.74776193420404,4.119727689803167
decile,era,season_to_next,starter,True,ERA_reg,5,78,3.876687444650013,4.271514283155727
